naceCode,sectorLabel,eu27Mean,deMean,coreMean,coreP10,coreP90,sectorCol
J,Information and communication,135.30833333333334,123.40833333333335,135.15476190476193,120.57333333333334,158.56,employmentIndex_J
M_N,"Professional, scientific and technical activities; administrative and support service activities",118.25,104.00833333333333,120.45357142857142,112.76833333333333,127.04666666666668,employmentIndex_M_N
F,Construction,116.61666666666667,102.875,117.67499999999998,104.625,129.91,employmentIndex_F
L,Real estate activities,116.58333333333333,112.24166666666667,112.76428571428572,95.82833333333333,130.41833333333335,employmentIndex_L
O-Q,"Public administration, defence, education, human health and social work activities",109.625,108.81666666666666,110.91785714285713,106.06166666666667,116.36333333333334,employmentIndex_O_Q
G-I,Wholesale and retail trade; transport; accommodation and food service activities,106.5,98.61666666666667,106.07976190476191,101.62666666666667,111.32166666666667,employmentIndex_G_I
R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",106.2,97.68333333333334,112.9202380952381,96.17,134.14000000000001,employmentIndex_R_U
B-E,Industry (except construction),102.27499999999999,95.48333333333333,104.66071428571429,99.40333333333334,110.45333333333333,employmentIndex_B_E
C,Manufacturing,102.15833333333335,94.64166666666667,104.48571428571428,98.87666666666667,110.47333333333333,employmentIndex_C
K,Financial and insurance activities,100.03333333333335,88.33333333333333,103.20714285714284,92.86833333333333,115.82166666666667,employmentIndex_K
A,"Agriculture, forestry and fishing",86.30833333333334,84.56666666666668,91.7202380952381,81.62333333333333,102.24666666666667,employmentIndex_A
