clusterId,nRows,nTotal,share,timeQuarter
0,14,32,0.4375,2021Q2
1,18,32,0.5625,2021Q2
0,14,32,0.4375,2021Q3
1,18,32,0.5625,2021Q3
0,10,32,0.3125,2021Q4
1,21,32,0.65625,2021Q4
2,1,32,0.03125,2021Q4
0,10,32,0.3125,2022Q1
1,19,32,0.59375,2022Q1
2,3,32,0.09375,2022Q1
0,6,32,0.1875,2022Q2
1,18,32,0.5625,2022Q2
2,8,32,0.25,2022Q2
0,5,32,0.15625,2022Q3
1,18,32,0.5625,2022Q3
2,9,32,0.28125,2022Q3
0,4,32,0.125,2022Q4
1,19,32,0.59375,2022Q4
2,9,32,0.28125,2022Q4
0,5,32,0.15625,2023Q1
1,18,32,0.5625,2023Q1
2,9,32,0.28125,2023Q1
0,6,32,0.1875,2023Q2
1,18,32,0.5625,2023Q2
2,8,32,0.25,2023Q2
0,12,32,0.375,2023Q3
1,17,32,0.53125,2023Q3
2,3,32,0.09375,2023Q3
0,14,32,0.4375,2023Q4
1,15,32,0.46875,2023Q4
2,3,32,0.09375,2023Q4
0,15,32,0.46875,2024Q1
1,16,32,0.5,2024Q1
2,1,32,0.03125,2024Q1
0,12,32,0.375,2024Q2
1,19,32,0.59375,2024Q2
2,1,32,0.03125,2024Q2
0,10,32,0.3125,2024Q3
1,21,32,0.65625,2024Q3
2,1,32,0.03125,2024Q3
0,11,32,0.34375,2024Q4
1,20,32,0.625,2024Q4
2,1,32,0.03125,2024Q4
