geo,timeQuarter,clusterId
AT,2021Q2,0
BE,2021Q2,1
BG,2021Q2,0
CH,2021Q2,1
CY,2021Q2,1
CZ,2021Q2,0
DE,2021Q2,1
DK,2021Q2,0
EA20,2021Q2,1
EE,2021Q2,0
EL,2021Q2,1
ES,2021Q2,1
FI,2021Q2,1
FR,2021Q2,1
HR,2021Q2,1
HU,2021Q2,0
IE,2021Q2,1
IS,2021Q2,0
IT,2021Q2,1
LT,2021Q2,0
LU,2021Q2,1
LV,2021Q2,1
MT,2021Q2,0
NL,2021Q2,0
NO,2021Q2,1
PL,2021Q2,0
PT,2021Q2,1
RO,2021Q2,0
RS,2021Q2,0
SE,2021Q2,1
SI,2021Q2,1
SK,2021Q2,0
AT,2021Q3,0
BE,2021Q3,1
BG,2021Q3,0
CH,2021Q3,1
CY,2021Q3,1
CZ,2021Q3,0
DE,2021Q3,0
DK,2021Q3,1
EA20,2021Q3,1
EE,2021Q3,0
EL,2021Q3,1
ES,2021Q3,1
FI,2021Q3,1
FR,2021Q3,1
HR,2021Q3,1
HU,2021Q3,0
IE,2021Q3,1
IS,2021Q3,0
IT,2021Q3,1
LT,2021Q3,0
LU,2021Q3,1
LV,2021Q3,0
MT,2021Q3,0
NL,2021Q3,1
NO,2021Q3,1
PL,2021Q3,0
PT,2021Q3,1
RO,2021Q3,0
RS,2021Q3,0
SE,2021Q3,1
SI,2021Q3,1
SK,2021Q3,0
AT,2021Q4,1
BE,2021Q4,1
BG,2021Q4,0
CH,2021Q4,1
CY,2021Q4,1
CZ,2021Q4,0
DE,2021Q4,0
DK,2021Q4,1
EA20,2021Q4,1
EE,2021Q4,0
EL,2021Q4,1
ES,2021Q4,1
FI,2021Q4,1
FR,2021Q4,1
HR,2021Q4,1
HU,2021Q4,0
IE,2021Q4,1
IS,2021Q4,1
IT,2021Q4,1
LT,2021Q4,2
LU,2021Q4,1
LV,2021Q4,0
MT,2021Q4,1
NL,2021Q4,1
NO,2021Q4,1
PL,2021Q4,0
PT,2021Q4,1
RO,2021Q4,0
RS,2021Q4,0
SE,2021Q4,1
SI,2021Q4,1
SK,2021Q4,0
AT,2022Q1,1
BE,2022Q1,0
BG,2022Q1,0
CH,2022Q1,1
CY,2022Q1,1
CZ,2022Q1,2
DE,2022Q1,1
DK,2022Q1,1
EA20,2022Q1,1
EE,2022Q1,2
EL,2022Q1,1
ES,2022Q1,1
FI,2022Q1,1
FR,2022Q1,1
HR,2022Q1,0
HU,2022Q1,0
IE,2022Q1,1
IS,2022Q1,1
IT,2022Q1,1
LT,2022Q1,2
LU,2022Q1,1
LV,2022Q1,0
MT,2022Q1,1
NL,2022Q1,1
NO,2022Q1,1
PL,2022Q1,0
PT,2022Q1,1
RO,2022Q1,0
RS,2022Q1,0
SE,2022Q1,1
SI,2022Q1,0
SK,2022Q1,0
AT,2022Q2,1
BE,2022Q2,1
BG,2022Q2,2
CH,2022Q2,1
CY,2022Q2,1
CZ,2022Q2,2
DE,2022Q2,1
DK,2022Q2,1
EA20,2022Q2,1
EE,2022Q2,2
EL,2022Q2,1
ES,2022Q2,1
FI,2022Q2,1
FR,2022Q2,1
HR,2022Q2,0
HU,2022Q2,2
IE,2022Q2,1
IS,2022Q2,1
IT,2022Q2,1
LT,2022Q2,2
LU,2022Q2,0
LV,2022Q2,2
MT,2022Q2,1
NL,2022Q2,1
NO,2022Q2,1
PL,2022Q2,2
PT,2022Q2,1
RO,2022Q2,0
RS,2022Q2,0
SE,2022Q2,0
SI,2022Q2,0
SK,2022Q2,2
AT,2022Q3,1
BE,2022Q3,1
BG,2022Q3,2
CH,2022Q3,1
CY,2022Q3,1
CZ,2022Q3,2
DE,2022Q3,1
DK,2022Q3,0
EA20,2022Q3,1
EE,2022Q3,2
EL,2022Q3,1
ES,2022Q3,1
FI,2022Q3,1
FR,2022Q3,1
HR,2022Q3,2
HU,2022Q3,2
IE,2022Q3,1
IS,2022Q3,1
IT,2022Q3,1
LT,2022Q3,2
LU,2022Q3,1
LV,2022Q3,2
MT,2022Q3,1
NL,2022Q3,1
NO,2022Q3,1
PL,2022Q3,2
PT,2022Q3,1
RO,2022Q3,0
RS,2022Q3,0
SE,2022Q3,0
SI,2022Q3,0
SK,2022Q3,2
AT,2022Q4,1
BE,2022Q4,1
BG,2022Q4,2
CH,2022Q4,1
CY,2022Q4,1
CZ,2022Q4,2
DE,2022Q4,1
DK,2022Q4,1
EA20,2022Q4,1
EE,2022Q4,2
EL,2022Q4,1
ES,2022Q4,1
FI,2022Q4,1
FR,2022Q4,1
HR,2022Q4,0
HU,2022Q4,2
IE,2022Q4,1
IS,2022Q4,1
IT,2022Q4,1
LT,2022Q4,2
LU,2022Q4,1
LV,2022Q4,2
MT,2022Q4,1
NL,2022Q4,0
NO,2022Q4,1
PL,2022Q4,2
PT,2022Q4,1
RO,2022Q4,0
RS,2022Q4,2
SE,2022Q4,1
SI,2022Q4,0
SK,2022Q4,2
AT,2023Q1,1
BE,2023Q1,1
BG,2023Q1,2
CH,2023Q1,1
CY,2023Q1,1
CZ,2023Q1,2
DE,2023Q1,1
DK,2023Q1,1
EA20,2023Q1,1
EE,2023Q1,2
EL,2023Q1,1
ES,2023Q1,1
FI,2023Q1,1
FR,2023Q1,1
HR,2023Q1,0
HU,2023Q1,2
IE,2023Q1,1
IS,2023Q1,1
IT,2023Q1,1
LT,2023Q1,2
LU,2023Q1,1
LV,2023Q1,2
MT,2023Q1,1
NL,2023Q1,0
NO,2023Q1,1
PL,2023Q1,2
PT,2023Q1,1
RO,2023Q1,0
RS,2023Q1,2
SE,2023Q1,0
SI,2023Q1,0
SK,2023Q1,2
AT,2023Q2,0
BE,2023Q2,1
BG,2023Q2,0
CH,2023Q2,1
CY,2023Q2,1
CZ,2023Q2,2
DE,2023Q2,1
DK,2023Q2,1
EA20,2023Q2,1
EE,2023Q2,2
EL,2023Q2,1
ES,2023Q2,1
FI,2023Q2,1
FR,2023Q2,1
HR,2023Q2,0
HU,2023Q2,2
IE,2023Q2,1
IS,2023Q2,1
IT,2023Q2,1
LT,2023Q2,2
LU,2023Q2,1
LV,2023Q2,2
MT,2023Q2,1
NL,2023Q2,0
NO,2023Q2,1
PL,2023Q2,2
PT,2023Q2,1
RO,2023Q2,0
RS,2023Q2,2
SE,2023Q2,1
SI,2023Q2,0
SK,2023Q2,2
AT,2023Q3,0
BE,2023Q3,1
BG,2023Q3,0
CH,2023Q3,1
CY,2023Q3,1
CZ,2023Q3,0
DE,2023Q3,1
DK,2023Q3,1
EA20,2023Q3,1
EE,2023Q3,0
EL,2023Q3,1
ES,2023Q3,1
FI,2023Q3,1
FR,2023Q3,1
HR,2023Q3,0
HU,2023Q3,2
IE,2023Q3,1
IS,2023Q3,0
IT,2023Q3,1
LT,2023Q3,0
LU,2023Q3,1
LV,2023Q3,0
MT,2023Q3,1
NL,2023Q3,0
NO,2023Q3,1
PL,2023Q3,0
PT,2023Q3,1
RO,2023Q3,2
RS,2023Q3,2
SE,2023Q3,1
SI,2023Q3,0
SK,2023Q3,0
AT,2023Q4,0
BE,2023Q4,0
BG,2023Q4,0
CH,2023Q4,1
CY,2023Q4,1
CZ,2023Q4,0
DE,2023Q4,1
DK,2023Q4,1
EA20,2023Q4,1
EE,2023Q4,0
EL,2023Q4,1
ES,2023Q4,1
FI,2023Q4,1
FR,2023Q4,1
HR,2023Q4,0
HU,2023Q4,2
IE,2023Q4,1
IS,2023Q4,0
IT,2023Q4,1
LT,2023Q4,0
LU,2023Q4,1
LV,2023Q4,0
MT,2023Q4,1
NL,2023Q4,0
NO,2023Q4,0
PL,2023Q4,0
PT,2023Q4,1
RO,2023Q4,2
RS,2023Q4,2
SE,2023Q4,1
SI,2023Q4,0
SK,2023Q4,0
AT,2024Q1,0
BE,2024Q1,0
BG,2024Q1,0
CH,2024Q1,1
CY,2024Q1,1
CZ,2024Q1,1
DE,2024Q1,1
DK,2024Q1,1
EA20,2024Q1,1
EE,2024Q1,0
EL,2024Q1,1
ES,2024Q1,1
FI,2024Q1,1
FR,2024Q1,1
HR,2024Q1,0
HU,2024Q1,0
IE,2024Q1,1
IS,2024Q1,0
IT,2024Q1,1
LT,2024Q1,0
LU,2024Q1,1
LV,2024Q1,0
MT,2024Q1,1
NL,2024Q1,0
NO,2024Q1,0
PL,2024Q1,0
PT,2024Q1,1
RO,2024Q1,2
RS,2024Q1,0
SE,2024Q1,1
SI,2024Q1,0
SK,2024Q1,0
AT,2024Q2,1
BE,2024Q2,0
BG,2024Q2,1
CH,2024Q2,1
CY,2024Q2,1
CZ,2024Q2,1
DE,2024Q2,1
DK,2024Q2,1
EA20,2024Q2,1
EE,2024Q2,0
EL,2024Q2,1
ES,2024Q2,1
FI,2024Q2,1
FR,2024Q2,1
HR,2024Q2,0
HU,2024Q2,0
IE,2024Q2,1
IS,2024Q2,0
IT,2024Q2,1
LT,2024Q2,0
LU,2024Q2,1
LV,2024Q2,0
MT,2024Q2,1
NL,2024Q2,0
NO,2024Q2,0
PL,2024Q2,0
PT,2024Q2,1
RO,2024Q2,2
RS,2024Q2,0
SE,2024Q2,1
SI,2024Q2,1
SK,2024Q2,0
AT,2024Q3,1
BE,2024Q3,0
BG,2024Q3,1
CH,2024Q3,1
CY,2024Q3,1
CZ,2024Q3,0
DE,2024Q3,1
DK,2024Q3,1
EA20,2024Q3,1
EE,2024Q3,0
EL,2024Q3,1
ES,2024Q3,1
FI,2024Q3,1
FR,2024Q3,1
HR,2024Q3,0
HU,2024Q3,0
IE,2024Q3,1
IS,2024Q3,1
IT,2024Q3,1
LT,2024Q3,1
LU,2024Q3,1
LV,2024Q3,0
MT,2024Q3,1
NL,2024Q3,0
NO,2024Q3,1
PL,2024Q3,0
PT,2024Q3,1
RO,2024Q3,2
RS,2024Q3,0
SE,2024Q3,1
SI,2024Q3,1
SK,2024Q3,0
AT,2024Q4,1
BE,2024Q4,0
BG,2024Q4,1
CH,2024Q4,1
CY,2024Q4,1
CZ,2024Q4,0
DE,2024Q4,0
DK,2024Q4,1
EA20,2024Q4,1
EE,2024Q4,0
EL,2024Q4,1
ES,2024Q4,1
FI,2024Q4,1
FR,2024Q4,1
HR,2024Q4,0
HU,2024Q4,0
IE,2024Q4,1
IS,2024Q4,1
IT,2024Q4,1
LT,2024Q4,1
LU,2024Q4,1
LV,2024Q4,0
MT,2024Q4,1
NL,2024Q4,0
NO,2024Q4,1
PL,2024Q4,0
PT,2024Q4,1
RO,2024Q4,2
RS,2024Q4,0
SE,2024Q4,1
SI,2024Q4,1
SK,2024Q4,0
