geo,yPred,timeQuarter,model
AT,1.9333333333333333,2025Q1,M0_baselinePersistence
AT,1.9333333333333333,2025Q2,M0_baselinePersistence
AT,1.9333333333333333,2025Q3,M0_baselinePersistence
AT,1.9333333333333333,2025Q4,M0_baselinePersistence
BE,4.566666666666666,2025Q1,M0_baselinePersistence
BE,4.566666666666666,2025Q2,M0_baselinePersistence
BE,4.566666666666666,2025Q3,M0_baselinePersistence
BE,4.566666666666666,2025Q4,M0_baselinePersistence
BG,2.033333333333333,2025Q1,M0_baselinePersistence
BG,2.033333333333333,2025Q2,M0_baselinePersistence
BG,2.033333333333333,2025Q3,M0_baselinePersistence
BG,2.033333333333333,2025Q4,M0_baselinePersistence
CH,0.6,2025Q1,M0_baselinePersistence
CH,0.6,2025Q2,M0_baselinePersistence
CH,0.6,2025Q3,M0_baselinePersistence
CH,0.6,2025Q4,M0_baselinePersistence
CY,2.3000000000000003,2025Q1,M0_baselinePersistence
CY,2.3000000000000003,2025Q2,M0_baselinePersistence
CY,2.3000000000000003,2025Q3,M0_baselinePersistence
CY,2.3000000000000003,2025Q4,M0_baselinePersistence
CZ,3.1333333333333333,2025Q1,M0_baselinePersistence
CZ,3.1333333333333333,2025Q2,M0_baselinePersistence
CZ,3.1333333333333333,2025Q3,M0_baselinePersistence
CZ,3.1333333333333333,2025Q4,M0_baselinePersistence
DE,2.533333333333333,2025Q1,M0_baselinePersistence
DE,2.533333333333333,2025Q2,M0_baselinePersistence
DE,2.533333333333333,2025Q3,M0_baselinePersistence
DE,2.533333333333333,2025Q4,M0_baselinePersistence
DK,1.6666666666666667,2025Q1,M0_baselinePersistence
DK,1.6666666666666667,2025Q2,M0_baselinePersistence
DK,1.6666666666666667,2025Q3,M0_baselinePersistence
DK,1.6666666666666667,2025Q4,M0_baselinePersistence
EA20,2.1999999999999997,2025Q1,M0_baselinePersistence
EA20,2.1999999999999997,2025Q2,M0_baselinePersistence
EA20,2.1999999999999997,2025Q3,M0_baselinePersistence
EA20,2.1999999999999997,2025Q4,M0_baselinePersistence
EE,4.133333333333333,2025Q1,M0_baselinePersistence
EE,4.133333333333333,2025Q2,M0_baselinePersistence
EE,4.133333333333333,2025Q3,M0_baselinePersistence
EE,4.133333333333333,2025Q4,M0_baselinePersistence
EL,3.0,2025Q1,M0_baselinePersistence
EL,3.0,2025Q2,M0_baselinePersistence
EL,3.0,2025Q3,M0_baselinePersistence
EL,3.0,2025Q4,M0_baselinePersistence
ES,2.3333333333333335,2025Q1,M0_baselinePersistence
ES,2.3333333333333335,2025Q2,M0_baselinePersistence
ES,2.3333333333333335,2025Q3,M0_baselinePersistence
ES,2.3333333333333335,2025Q4,M0_baselinePersistence
FI,1.5999999999999999,2025Q1,M0_baselinePersistence
FI,1.5999999999999999,2025Q2,M0_baselinePersistence
FI,1.5999999999999999,2025Q3,M0_baselinePersistence
FI,1.5999999999999999,2025Q4,M0_baselinePersistence
FR,1.7,2025Q1,M0_baselinePersistence
FR,1.7,2025Q2,M0_baselinePersistence
FR,1.7,2025Q3,M0_baselinePersistence
FR,1.7,2025Q4,M0_baselinePersistence
HR,4.033333333333333,2025Q1,M0_baselinePersistence
HR,4.033333333333333,2025Q2,M0_baselinePersistence
HR,4.033333333333333,2025Q3,M0_baselinePersistence
HR,4.033333333333333,2025Q4,M0_baselinePersistence
HU,4.033333333333333,2025Q1,M0_baselinePersistence
HU,4.033333333333333,2025Q2,M0_baselinePersistence
HU,4.033333333333333,2025Q3,M0_baselinePersistence
HU,4.033333333333333,2025Q4,M0_baselinePersistence
IE,0.5333333333333333,2025Q1,M0_baselinePersistence
IE,0.5333333333333333,2025Q2,M0_baselinePersistence
IE,0.5333333333333333,2025Q3,M0_baselinePersistence
IE,0.5333333333333333,2025Q4,M0_baselinePersistence
IT,1.3,2025Q1,M0_baselinePersistence
IT,1.3,2025Q2,M0_baselinePersistence
IT,1.3,2025Q3,M0_baselinePersistence
IT,1.3,2025Q4,M0_baselinePersistence
LT,1.0333333333333334,2025Q1,M0_baselinePersistence
LT,1.0333333333333334,2025Q2,M0_baselinePersistence
LT,1.0333333333333334,2025Q3,M0_baselinePersistence
LT,1.0333333333333334,2025Q4,M0_baselinePersistence
LU,1.2,2025Q1,M0_baselinePersistence
LU,1.2,2025Q2,M0_baselinePersistence
LU,1.2,2025Q3,M0_baselinePersistence
LU,1.2,2025Q4,M0_baselinePersistence
LV,2.6,2025Q1,M0_baselinePersistence
LV,2.6,2025Q2,M0_baselinePersistence
LV,2.6,2025Q3,M0_baselinePersistence
LV,2.6,2025Q4,M0_baselinePersistence
MT,2.1,2025Q1,M0_baselinePersistence
MT,2.1,2025Q2,M0_baselinePersistence
MT,2.1,2025Q3,M0_baselinePersistence
MT,2.1,2025Q4,M0_baselinePersistence
NL,3.6666666666666665,2025Q1,M0_baselinePersistence
NL,3.6666666666666665,2025Q2,M0_baselinePersistence
NL,3.6666666666666665,2025Q3,M0_baselinePersistence
NL,3.6666666666666665,2025Q4,M0_baselinePersistence
NO,1.9333333333333333,2025Q1,M0_baselinePersistence
NO,1.9333333333333333,2025Q2,M0_baselinePersistence
NO,1.9333333333333333,2025Q3,M0_baselinePersistence
NO,1.9333333333333333,2025Q4,M0_baselinePersistence
PL,4.0,2025Q1,M0_baselinePersistence
PL,4.0,2025Q2,M0_baselinePersistence
PL,4.0,2025Q3,M0_baselinePersistence
PL,4.0,2025Q4,M0_baselinePersistence
PT,2.8000000000000003,2025Q1,M0_baselinePersistence
PT,2.8000000000000003,2025Q2,M0_baselinePersistence
PT,2.8000000000000003,2025Q3,M0_baselinePersistence
PT,2.8000000000000003,2025Q4,M0_baselinePersistence
RO,5.3,2025Q1,M0_baselinePersistence
RO,5.3,2025Q2,M0_baselinePersistence
RO,5.3,2025Q3,M0_baselinePersistence
RO,5.3,2025Q4,M0_baselinePersistence
RS,4.5,2025Q1,M0_baselinePersistence
RS,4.5,2025Q2,M0_baselinePersistence
RS,4.5,2025Q3,M0_baselinePersistence
RS,4.5,2025Q4,M0_baselinePersistence
SE,1.7333333333333334,2025Q1,M0_baselinePersistence
SE,1.7333333333333334,2025Q2,M0_baselinePersistence
SE,1.7333333333333334,2025Q3,M0_baselinePersistence
SE,1.7333333333333334,2025Q4,M0_baselinePersistence
SI,1.2,2025Q1,M0_baselinePersistence
SI,1.2,2025Q2,M0_baselinePersistence
SI,1.2,2025Q3,M0_baselinePersistence
SI,1.2,2025Q4,M0_baselinePersistence
SK,3.433333333333333,2025Q1,M0_baselinePersistence
SK,3.433333333333333,2025Q2,M0_baselinePersistence
SK,3.433333333333333,2025Q3,M0_baselinePersistence
SK,3.433333333333333,2025Q4,M0_baselinePersistence
